State,Year,Category,SubCat,Value
Alabama,2012,TotalIncome,Income,23660.43597
Alabama,2012,Expenditure,Income Tax,2803.791099
Alabama,2012,Expenditure,Other,1181.355132
Alabama,2012,HP,Housing Prices,160391.5612
Alabama,2013,TotalIncome,Income,23627.33021
Alabama,2013,Expenditure,Income Tax,2854.046904
Alabama,2013,Expenditure,Other,1320.148687
Alabama,2013,HP,Housing Prices,158119.3413
Alabama,2014,TotalIncome,Income,23496.15214
Alabama,2014,Expenditure,Income Tax,2976.881141
Alabama,2014,Expenditure,Other,1542.44374
Alabama,2014,HP,Housing Prices,145065.9144
Alabama,2015,TotalIncome,Income,24280.55673
Alabama,2015,Expenditure,Income Tax,3124.802852
Alabama,2015,Expenditure,Other,1354.200248
Alabama,2015,HP,Housing Prices,164116.813
Alabama,2016,TotalIncome,Income,25527.87876
Alabama,2016,Expenditure,Income Tax,3599.391255
Alabama,2016,Expenditure,Other,1393.913118
Alabama,2016,HP,Housing Prices,164919.542
Alabama,2017,TotalIncome,Income,27987.95306
Alabama,2017,Expenditure,Income Tax,3875.041103
Alabama,2017,Expenditure,Other,1768.245823
Alabama,2017,HP,Housing Prices,183814.7269
Alabama,2018,TotalIncome,Income,29928.97183
Alabama,2018,Expenditure,Income Tax,4455.646025
Alabama,2018,Expenditure,Other,1353.793863
Alabama,2018,HP,Housing Prices,176102.1447
Alabama,2019,TotalIncome,Income,28384.53028
Alabama,2019,Expenditure,Income Tax,8721.802376
Alabama,2019,Expenditure,Other,2362.521008
Alabama,2019,HP,Housing Prices,177685.8872
Alabama,2020,TotalIncome,Income,32059.80243
Alabama,2020,Expenditure,Income Tax,10962.35625
Alabama,2020,Expenditure,Other,2604.684194
Alabama,2020,HP,Housing Prices,204318.2137
Alabama,2021,TotalIncome,Income,32853.61916
Alabama,2021,Expenditure,Income Tax,7961.464884
Alabama,2021,Expenditure,Other,2189.91772
Alabama,2021,HP,Housing Prices,211011.8345
Alaska,2012,TotalIncome,Income,28916.25709
Alaska,2012,Expenditure,Income Tax,3056.526267
Alaska,2012,Expenditure,Other,1474.038122
Alaska,2012,HP,Housing Prices,251114.0355
Alaska,2013,TotalIncome,Income,28810.44263
Alaska,2013,Expenditure,Income Tax,2923.381673
Alaska,2013,Expenditure,Other,1430.973307
Alaska,2013,HP,Housing Prices,235069.8081
Alaska,2014,TotalIncome,Income,33590.22576
Alaska,2014,Expenditure,Income Tax,4917.428951
Alaska,2014,Expenditure,Other,2034.446215
Alaska,2014,HP,Housing Prices,269009.2081
Alaska,2015,TotalIncome,Income,30405.77792
Alaska,2015,Expenditure,Income Tax,4044.562011
Alaska,2015,Expenditure,Other,1643.83972
Alaska,2015,HP,Housing Prices,264970.8789
Alaska,2016,TotalIncome,Income,33546.77425
Alaska,2016,Expenditure,Income Tax,4671.13003
Alaska,2016,Expenditure,Other,1746.748835
Alaska,2016,HP,Housing Prices,282536.0858
Alaska,2017,TotalIncome,Income,33015.62444
Alaska,2017,Expenditure,Income Tax,3973.748881
Alaska,2017,Expenditure,Other,1544.55103
Alaska,2017,HP,Housing Prices,273485.3674
Alaska,2018,TotalIncome,Income,32203.14197
Alaska,2018,Expenditure,Income Tax,3784.058599
Alaska,2018,Expenditure,Other,1333.402573
Alaska,2018,HP,Housing Prices,280894.7603
Alaska,2019,TotalIncome,Income,33412.14532
Alaska,2019,Expenditure,Income Tax,8363.024977
Alaska,2019,Expenditure,Other,2467.674841
Alaska,2019,HP,Housing Prices,343599.7767
Alaska,2020,TotalIncome,Income,35141.71641
Alaska,2020,Expenditure,Income Tax,10145.72985
Alaska,2020,Expenditure,Other,2656.597409
Alaska,2020,HP,Housing Prices,356640.9332
Alaska,2021,TotalIncome,Income,35196.22527
Alaska,2021,Expenditure,Income Tax,5821.432268
Alaska,2021,Expenditure,Other,2330.674784
Alaska,2021,HP,Housing Prices,369824.1796
Arizona,2012,TotalIncome,Income,24377.05592
Arizona,2012,Expenditure,Income Tax,2757.557258
Arizona,2012,Expenditure,Other,1282.918039
Arizona,2012,HP,Housing Prices,187216.7459
Arizona,2013,TotalIncome,Income,22939.07011
Arizona,2013,Expenditure,Income Tax,2411.064715
Arizona,2013,Expenditure,Other,1177.336672
Arizona,2013,HP,Housing Prices,202292.0448
Arizona,2014,TotalIncome,Income,24878.15722
Arizona,2014,Expenditure,Income Tax,2965.239691
Arizona,2014,Expenditure,Other,1257.167526
Arizona,2014,HP,Housing Prices,196247.3684
Arizona,2015,TotalIncome,Income,24121.80964
Arizona,2015,Expenditure,Income Tax,2901.392058
Arizona,2015,Expenditure,Other,1457.160101
Arizona,2015,HP,Housing Prices,202005.1334
Arizona,2016,TotalIncome,Income,26363.81656
Arizona,2016,Expenditure,Income Tax,3607.606909
Arizona,2016,Expenditure,Other,1375.598273
Arizona,2016,HP,Housing Prices,209967.7229
Arizona,2017,TotalIncome,Income,29706.87076
Arizona,2017,Expenditure,Income Tax,3987.124585
Arizona,2017,Expenditure,Other,1603.878738
Arizona,2017,HP,Housing Prices,231173.2347
Arizona,2018,TotalIncome,Income,28541.09019
Arizona,2018,Expenditure,Income Tax,3455.965312
Arizona,2018,Expenditure,Other,1611.752891
Arizona,2018,HP,Housing Prices,250116.3512
Arizona,2019,TotalIncome,Income,31270.21975
