State,Value
Alabama,174554.5979
Alaska,292714.5034
Arizona,244346.9026
Arkansas,159650.4554
California,541082.7165
Colorado,359894.1178
Connecticut,380962.8143
Delaware,258676.4455
District of Columbia,666732.2236
Florida,244517.7651
Georgia,207296.9715
Hawaii,540867.3002
Idaho,238083.4218
Illinois,246108.271
Indiana,181299.7586
Iowa,178908.5271
Kansas,185595.8797
Kentucky,171705.3421
Louisiana,185777.8403
Maine,217553.2099
Maryland,366399.2409
Massachusetts,444843.8385
Michigan,184144.8729
Minnesota,252932.3308
Mississippi,134554.8906
Missouri,193035.2769
Montana,270413.971
Nebraska,180462.966
Nevada,264127.1189
New Hampshire,304720.8235
New Jersey,408071.8206
New Mexico,199868.3809
New York,415789.2409
North Carolina,204638.0412
North Dakota,207628.9623
Ohio,181302.2032
Oklahoma,163612.4867
Oregon,338964.736
Pennsylvania,234471.7187
Rhode Island,309585.7786
South Carolina,186930.0356
South Dakota,186752.2704
Tennessee,209911.5277
Texas,197960.1439
Utah,303091.0221
Vermont,258345.8543
Virginia,347253.556
Washington,386620.7809
West Virginia,159997.6962
Wisconsin,218270.7003
Wyoming,237218.8765
