YEAR,STATE,EDU_LEVEL,EDU_LEVEL_COUNT
2012,Alabama,Associate degree in college,135
2012,Alabama,Bachelor's degree,230
2012,Alabama,Doctorate degree,21
2012,Alabama,Elementary,30
2012,Alabama,High School,195
2012,Alabama,High school graduate,554
2012,Alabama,Kindergarten,3
2012,Alabama,Master's degree,102
2012,Alabama,Middle School,141
2012,Alabama,Pre-School,457
2012,Alabama,Professional school degree,20
2012,Alabama,Some college but no degree,314
2012,Alaska,Associate degree in college,134
2012,Alaska,Bachelor's degree,255
2012,Alaska,Doctorate degree,17
2012,Alaska,Elementary,24
2012,Alaska,High School,174
2012,Alaska,High school graduate,462
2012,Alaska,Kindergarten,5
2012,Alaska,Master's degree,97
2012,Alaska,Middle School,77
2012,Alaska,Pre-School,506
2012,Alaska,Professional school degree,14
2012,Alaska,Some college but no degree,386
2012,Arizona,Associate degree in college,159
2012,Arizona,Bachelor's degree,306
2012,Arizona,Doctorate degree,28
2012,Arizona,Elementary,79
2012,Arizona,High School,214
2012,Arizona,High school graduate,471
2012,Arizona,Kindergarten,13
2012,Arizona,Master's degree,140
2012,Arizona,Middle School,178
2012,Arizona,Pre-School,581
2012,Arizona,Professional school degree,16
2012,Arizona,Some college but no degree,426
2012,Arkansas,Associate degree in college,110
2012,Arkansas,Bachelor's degree,212
2012,Arkansas,Doctorate degree,10
2012,Arkansas,Elementary,34
2012,Arkansas,High School,168
2012,Arkansas,High school graduate,472
2012,Arkansas,Kindergarten,1
2012,Arkansas,Master's degree,67
2012,Arkansas,Middle School,86
2012,Arkansas,Pre-School,455
2012,Arkansas,Professional school degree,10
2012,Arkansas,Some college but no degree,310
2012,California,Associate degree in college,1138
2012,California,Bachelor's degree,2597
2012,California,Doctorate degree,199
2012,California,Elementary,916
2012,California,High School,1667
2012,California,High school graduate,3494
2012,California,Kindergarten,153
2012,California,Master's degree,907
2012,California,Middle School,1088
2012,California,Pre-School,4486
2012,California,Professional school degree,179
2012,California,Some college but no degree,2914
2012,Colorado,Associate degree in college,285
2012,Colorado,Bachelor's degree,766
2012,Colorado,Doctorate degree,72
2012,Colorado,Elementary,77
2012,Colorado,High School,293
2012,Colorado,High school graduate,752
2012,Colorado,Kindergarten,8
2012,Colorado,Master's degree,286
2012,Colorado,Middle School,220
2012,Colorado,Pre-School,1055
2012,Colorado,Professional school degree,51
2012,Colorado,Some college but no degree,657
2012,Connecticut,Associate degree in college,240
2012,Connecticut,Bachelor's degree,673
2012,Connecticut,Doctorate degree,64
2012,Connecticut,Elementary,66
2012,Connecticut,High School,325
2012,Connecticut,High school graduate,920
2012,Connecticut,Kindergarten,6
2012,Connecticut,Master's degree,395
2012,Connecticut,Middle School,196
2012,Connecticut,Pre-School,1045
2012,Connecticut,Professional school degree,77
2012,Connecticut,Some college but no degree,535
2012,Delaware,Associate degree in college,195
2012,Delaware,Bachelor's degree,418
2012,Delaware,Doctorate degree,40
2012,Delaware,Elementary,43
2012,Delaware,High School,229
2012,Delaware,High school graduate,761
2012,Delaware,Kindergarten,13
2012,Delaware,Master's degree,151
2012,Delaware,Middle School,165
2012,Delaware,Pre-School,751
2012,Delaware,Professional school degree,18
2012,Delaware,Some college but no degree,390
2012,District of Columbia,Associate degree in college,77
2012,District of Columbia,Bachelor's degree,511
2012,District of Columbia,Doctorate degree,74
2012,District of Columbia,Elementary,59
2012,District of Columbia,High School,183
2012,District of Columbia,High school graduate,457
2012,District of Columbia,Kindergarten,12
2012,District of Columbia,Master's degree,364
2012,District of Columbia,Middle School,109
2012,District of Columbia,Pre-School,451
2012,District of Columbia,Professional school degree,133
2012,District of Columbia,Some college but no degree,269
2012,Florida,Associate degree in college,711
2012,Florida,Bachelor's degree,1104
2012,Florida,Doctorate degree,77
2012,Florida,Elementary,171
2012,Florida,High School,527
2012,Florida,High school graduate,1871
2012,Florida,Kindergarten,13
2012,Florida,Master's degree,381
2012,Florida,Middle School,369
2012,Florida,Pre-School,1606
2012,Florida,Professional school degree,72
2012,Florida,Some college but no degree,1045
